gain	24	2	-82.84
gain	2	25	-77.07
gain	25	2	-81.15
gain	2	26	-83.75
gain	26	2	-86.47
gain	2	27	-84.85
gain	27	2	-87.09
gain	2	28	-80.95
gain	28	2	-83.62
gain	2	29	-85.18
gain	29	2	-86.25
gain	2	30	-83.43
gain	30	2	-85.83
gain	2	31	-81.58
gain	31	2	-83.54
gain	2	32	-89.09
gain	32	2	-89.94
gain	2	33	-85.40
gain	33	2	-86.48
gain	2	34	-85.62
gain	34	2	-86.28
gain	2	35	-89.47
gain	35	2	-92.08
gain	2	36	-90.68
gain	36	2	-91.79
gain	2	37	-87.40
gain	37	2	-91.28
gain	2	38	-87.59
gain	38	2	-89.60
gain	2	39	-85.11
gain	39	2	-85.53
gain	2	40	-85.23
gain	40	2	-88.25
gain	2	41	-96.17
gain	41	2	-97.89
gain	2	42	-89.46
gain	42	2	-89.07
gain	2	43	-90.44
gain	43	2	-93.97
gain	2	44	-90.67
gain	44	2	-95.01
gain	2	45	-91.87
gain	45	2	-93.49
gain	2	46	-91.29
gain	46	2	-91.58
gain	2	47	-89.06
gain	47	2	-90.93
gain	2	48	-91.64
gain	48	2	-95.36
gain	3	4	-51.06
gain	4	3	-48.38
gain	3	5	-73.64
gain	5	3	-72.09
gain	3	6	-80.30
gain	6	3	-77.46
gain	3	7	-76.90
gain	7	3	-73.80
gain	3	8	-74.35
gain	8	3	-71.51
gain	3	9	-65.68
gain	9	3	-65.61
gain	3	10	-55.03
gain	10	3	-50.88
gain	3	11	-63.78
gain	11	3	-61.48
gain	3	12	-77.14
gain	12	3	-74.24
gain	3	13	-79.38
gain	13	3	-77.30
gain	3	14	-82.93
gain	14	3	-80.74
gain	3	15	-86.26
gain	15	3	-83.03
gain	3	16	-74.02
gain	16	3	-73.84
gain	3	17	-72.27
gain	17	3	-68.42
gain	3	18	-72.41
gain	18	3	-69.88
gain	3	19	-74.32
gain	19	3	-73.01
gain	3	20	-82.19
gain	20	3	-81.95
gain	3	21	-88.47
gain	21	3	-87.23
gain	3	22	-79.23
gain	22	3	-77.05
gain	3	23	-81.76
gain	23	3	-81.05
gain	3	24	-81.06
gain	24	3	-81.25
gain	3	25	-82.56
gain	25	3	-82.20
gain	3	26	-88.49
gain	26	3	-86.77
gain	3	27	-88.03
gain	27	3	-85.83
gain	3	28	-87.99
gain	28	3	-86.22
gain	3	29	-92.24
gain	29	3	-88.87
gain	3	30	-85.60
gain	30	3	-83.57
gain	3	31	-83.12
gain	31	3	-80.65
gain	3	32	-87.85
gain	32	3	-84.27
gain	3	33	-86.67
gain	33	3	-83.31
gain	3	34	-88.54
gain	34	3	-84.76
gain	3	35	-91.44
gain	35	3	-89.61
gain	3	36	-99.25
gain	36	3	-95.92
gain	3	37	-99.08
gain	37	3	-98.52
gain	3	38	-93.38
gain	38	3	-90.95
gain	3	39	-88.63
gain	39	3	-84.61
gain	3	40	-94.25
gain	40	3	-92.84
gain	3	41	-88.29
gain	41	3	-85.58
gain	3	42	-91.96
gain	42	3	-87.13
gain	3	43	-101.67
gain	43	3	-100.76
gain	3	44	-99.61
gain	44	3	-99.50
gain	3	45	-93.87
gain	45	3	-91.05
gain	3	46	-92.11
gain	46	3	-87.97
gain	3	47	-96.73
gain	47	3	-94.16
gain	3	48	-94.49
gain	48	3	-93.77
gain	4	5	-57.31
gain	5	4	-58.44
gain	4	6	-72.33
gain	6	4	-72.17
gain	4	7	-83.18
gain	7	4	-82.77
gain	4	8	-77.34
gain	8	4	-77.19
gain	4	9	-74.63
gain	9	4	-77.25
gain	4	10	-63.51
gain	10	4	-62.04
gain	4	11	-57.14
gain	11	4	-57.52
gain	4	12	-63.17
gain	12	4	-62.95
gain	4	13	-72.47
gain	13	4	-73.07
gain	4	14	-82.84
gain	14	4	-83.34
gain	4	15	-77.80
gain	15	4	-77.26
gain	4	16	-76.99
gain	16	4	-79.49
gain	4	17	-75.78
gain	17	4	-74.61
gain	4	18	-66.00
gain	18	4	-66.17
gain	4	19	-65.16
gain	19	4	-66.54
gain	4	20	-76.58
gain	20	4	-79.03
gain	4	21	-86.31
gain	21	4	-87.76
gain	4	22	-82.94
gain	22	4	-83.44
gain	4	23	-83.48
gain	23	4	-85.46
gain	4	24	-75.98
gain	24	4	-78.85
gain	4	25	-72.02
gain	25	4	-74.35
gain	4	26	-80.82
gain	26	4	-81.78
gain	4	27	-77.92
gain	27	4	-78.40
gain	4	28	-92.13
gain	28	4	-93.04
gain	4	29	-84.59
gain	29	4	-83.91
gain	4	30	-88.23
gain	30	4	-88.88
gain	4	31	-82.05
gain	31	4	-82.26
gain	4	32	-86.78
gain	32	4	-85.87
gain	4	33	-77.59
gain	33	4	-76.91
gain	4	34	-90.18
gain	34	4	-89.09
gain	4	35	-93.17
gain	35	4	-94.03
gain	4	36	-90.97
gain	36	4	-90.32
gain	4	37	-86.32
gain	37	4	-88.44
gain	4	38	-87.14
gain	38	4	-87.40
gain	4	39	-86.58
gain	39	4	-85.24
gain	4	40	-90.83
gain	40	4	-92.09
gain	4	41	-86.81
gain	41	4	-86.78
gain	4	42	-99.07
gain	42	4	-96.92
gain	4	43	-93.61
gain	43	4	-95.38
gain	4	44	-98.23
gain	44	4	-100.81
gain	4	45	-92.06
gain	45	4	-91.93
gain	4	46	-93.17
gain	46	4	-91.72
gain	4	47	-90.93
gain	47	4	-91.04
gain	4	48	-93.38
gain	48	4	-95.35
gain	5	6	-52.83
gain	6	5	-51.54
gain	5	7	-85.31
gain	7	5	-83.76
gain	5	8	-85.12
gain	8	5	-83.84
gain	5	9	-88.04
gain	9	5	-89.53
gain	5	10	-74.81
gain	10	5	-72.21
gain	5	11	-68.68
gain	11	5	-67.93
gain	5	12	-53.08
gain	12	5	-51.73
gain	5	13	-65.32
gain	13	5	-64.79
gain	5	14	-89.97
gain	14	5	-89.33
gain	5	15	-84.82
gain	15	5	-83.14
gain	5	16	-83.16
gain	16	5	-84.54
gain	5	17	-76.92
gain	17	5	-74.62
gain	5	18	-77.34
gain	18	5	-76.37
gain	5	19	-59.33
gain	19	5	-59.57
gain	5	20	-74.29
gain	20	5	-75.61
gain	5	21	-92.06
gain	21	5	-92.38
gain	5	22	-88.38
gain	22	5	-87.74
gain	5	23	-79.50
gain	23	5	-80.34
gain	5	24	-74.88
gain	24	5	-76.62
gain	5	25	-82.03
gain	25	5	-83.22
gain	5	26	-81.93
gain	26	5	-81.77
gain	5	27	-83.96
gain	27	5	-83.31
gain	5	28	-91.82
gain	28	5	-91.60
gain	5	29	-91.55
gain	29	5	-89.74
gain	5	30	-95.07
gain	30	5	-94.59
gain	5	31	-88.51
gain	31	5	-87.59
gain	5	32	-88.00
gain	32	5	-85.96
gain	5	33	-83.90
gain	33	5	-82.09
gain	5	34	-88.48
gain	34	5	-86.25
gain	5	35	-101.45
gain	35	5	-101.17
gain	5	36	-93.63
gain	36	5	-91.85
gain	5	37	-96.46
gain	37	5	-97.45
gain	5	38	-90.42
gain	38	5	-89.54
gain	5	39	-87.94
gain	39	5	-85.48
gain	5	40	-86.85
gain	40	5	-86.99
gain	5	41	-95.31
gain	41	5	-94.15
gain	5	42	-100.23
gain	42	5	-96.95
gain	5	43	-100.02
gain	43	5	-100.66
gain	5	44	-95.50
gain	44	5	-96.94
gain	5	45	-97.71
gain	45	5	-96.44
gain	5	46	-91.23
gain	46	5	-88.64
gain	5	47	-89.93
gain	47	5	-88.92
gain	5	48	-95.85
gain	48	5	-96.68
gain	6	7	-92.82
gain	7	6	-92.56
gain	6	8	-90.00
gain	8	6	-90.01
gain	6	9	-82.99
gain	9	6	-85.77
gain	6	10	-79.33
gain	10	6	-78.02
gain	6	11	-75.60
gain	11	6	-76.14
gain	6	12	-63.41
gain	12	6	-63.35
gain	6	13	-58.78
gain	13	6	-59.54
gain	6	14	-94.45
gain	14	6	-95.10
gain	6	15	-84.39
gain	15	6	-84.00
gain	6	16	-87.08
gain	16	6	-89.74
gain	6	17	-81.18
gain	17	6	-80.16
gain	6	18	-78.56
gain	18	6	-78.88
gain	6	19	-70.78
gain	19	6	-72.31
gain	6	20	-73.50
gain	20	6	-76.11
gain	6	21	-94.25
gain	21	6	-95.85
gain	6	22	-92.52
gain	22	6	-93.17
gain	6	23	-95.35
gain	23	6	-97.48
gain	6	24	-83.38
gain	24	6	-86.41
gain	6	25	-83.68
gain	25	6	-86.16
gain	6	26	-71.71
gain	26	6	-72.83
gain	6	27	-86.61
gain	27	6	-87.25
gain	6	28	-93.20
gain	28	6	-94.27
gain	6	29	-98.42
gain	29	6	-97.90
gain	6	30	-87.29
gain	30	6	-88.10
gain	6	31	-91.64
gain	31	6	-92.01
gain	6	32	-82.28
gain	32	6	-81.53
gain	6	33	-82.64
gain	33	6	-82.12
gain	6	34	-89.80
gain	34	6	-88.86
gain	6	35	-98.16
gain	35	6	-99.17
gain	6	36	-92.59
gain	36	6	-92.10
gain	6	37	-93.59
gain	37	6	-95.87
gain	6	38	-89.67
gain	38	6	-90.09
gain	6	39	-89.44
gain	39	6	-88.27
gain	6	40	-88.95
gain	40	6	-90.38
gain	6	41	-83.94
gain	41	6	-84.07
gain	6	42	-100.21
gain	42	6	-98.22
gain	6	43	-98.67
gain	43	6	-100.60
gain	6	44	-92.10
gain	44	6	-94.84
gain	6	45	-92.59
gain	45	6	-92.62
gain	6	46	-92.45
gain	46	6	-91.15
gain	6	47	-95.22
gain	47	6	-95.49
gain	6	48	-88.53
gain	48	6	-90.65
gain	7	8	-51.57
gain	8	7	-51.83
gain	7	9	-72.01
gain	9	7	-75.04
gain	7	10	-75.43
gain	10	7	-74.38
gain	7	11	-84.80
gain	11	7	-85.60
gain	7	12	-85.29
gain	12	7	-85.49
gain	7	13	-92.01
gain	13	7	-93.02
gain	7	14	-53.59
gain	14	7	-54.50
gain	7	15	-61.48
